px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
17.3002	5.44137	4.94564	0.847706	0.416154	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.011965
17.4464	5.60236	4.88843	0.867207	0.417269	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	2.78771
17.6958	5.73214	4.95089	0.841084	0.367185	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	1.5153
17.8129	5.92385	4.86163	0.882871	0.397987	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	1.26925
18.044	6.12796	4.9732	0.882003	0.375007	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.695043
18.1866	6.33439	4.95941	0.911526	0.388176	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.812775
18.2739	6.57487	4.93147	0.964907	0.424134	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.806946
18.4024	6.78592	4.91892	0.993664	0.433842	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.284115
18.5419	6.91966	4.8472	0.992133	0.410126	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	1.64995
18.7242	7.12926	4.92758	0.991386	0.383885	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.598696
19.0058	7.285	5.02874	0.942094	0.310932	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	2.45255
18.9954	7.47397	4.80192	1.02113	0.386926	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	5.40821
19.0629	7.73876	4.81311	1.07687	0.425046	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.32514
19.1985	7.94646	4.83996	1.08544	0.409652	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	0.325901
19.2178	8.15205	4.73971	1.1395	0.445757	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	0.709481
19.3327	8.35961	4.77861	1.14343	0.418836	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	2.21495
19.3867	8.49636	4.63897	1.16344	0.419136	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	2.41241
